"","Line","Name","OriginName","Opened","Elev","Lat","Lon"
"1","1","Bulvar Rokossovskogo","Бульвар Рокоссовского","1990-08-01",-8,55.8148,37.7342
"2","1","Cherkizovskaya","Черкизовская","1990-08-01",-9,55.8038,37.7448
"3","1","Preobrazhenskaya Ploshchad","Преображенская площадь","1965-12-31",-8,55.7963,37.7151
"4","1","Sokolniki","Сокольники","1935-05-15",-9,55.7888,37.6802
"5","1","Krasnoselskaya","Красносельская","1935-05-15",-8,55.7801,37.6673
"6","1","Komsomolskaya","Комсомольская","1935-05-15",-8,55.7753,37.6562
"7","1","Krasnye Vorota","Красные ворота","1935-05-15",-31,55.769,37.6487
"8","1","Chistyye Prudy","Чистые пруды","1935-05-15",-35,55.7657,37.6388
"9","1","Lubyanka","Лубянка","1935-05-15",-32.5,55.7597,37.6272
"10","1","Okhotny Ryad","Охотный ряд","1935-05-15",-15,55.7577,37.6166
"11","1","Biblioteka Imeni Lenina","Библиотека имени Ленина","1935-05-15",-12,55.7512,37.61
"12","1","Kropotkinskaya","Кропоткинская","1935-05-15",-13,55.7453,37.6037
"13","1","Park Kultury","Парк культуры","1935-05-15",-10.5,55.7356,37.5943
"14","1","Frunzenskaya","Фрунзенская","1957-05-01",-42,55.7267,37.5786
"15","1","Sportivnaya","Спортивная","1957-05-01",-42,55.7233,37.5639
"16","1","Vorobyovy Gory","Воробьёвы горы","1959-01-12",10,55.7103,37.5592
"17","1","Universitet","Университет","1959-01-12",-26.5,55.6926,37.5333
"18","1","Prospekt Vernadskogo","Проспект Вернадского","1963-12-30",-8,55.6771,37.506
"19","1","Yugo-Zapadnaya","Юго-Западная","1963-12-30",-8,55.6637,37.4833
"20","1","Troparyovo","Тропарёво","2014-12-08",-12,55.6459,37.4725
"21","1","Rumyantsevo","Румянцево","2016-01-18",-12,55.633,37.4419
"22","1","Salaryevo","Саларьево","2016-02-15",-12,55.6227,37.424
"23","2","Khovrino","Ховрино","2017-12-31",-12,55.8791,37.4822
"24","2","Rechnoy Vokzal","Речной вокзал","1964-12-31",-6,55.8549,37.4761
"25","2","Vodny Stadion","Водный стадион","1964-12-31",-6,55.8398,37.4867
"26","2","Voykovskaya","Войковская","1964-12-31",-7,55.819,37.498
"27","2","Sokol","Сокол","1938-09-11",-9.6,55.8051,37.5153
"28","2","Aeroport","Аэропорт","1938-09-11",-10,55.8003,37.5329
"29","2","Dinamo","Динамо","1938-09-11",-39.6,55.7897,37.558
"30","2","Belorusskaya","Белорусская","1938-09-11",-33.1,55.7767,37.5835
"31","2","Mayakovskaya","Маяковская","1938-09-11",-33.1,55.7701,37.5958
"32","2","Tverskaya","Тверская","1979-07-20",-42,55.7647,37.6065
"33","2","Teatralnaya","Театральная","1938-09-11",-33.9,55.7578,37.619
"34","2","Novokuznetskaya","Новокузнецкая","1943-11-20",-37.5,55.7415,37.6295
"35","2","Paveletskaya","Павелецкая","1943-11-20",-33.5,55.7305,37.6377
"36","2","Avtozavodskaya","Автозаводская","1943-01-01",-11,55.7074,37.6576
"37","2","Tekhnopark","Технопарк","2015-12-28",0,55.695,37.6641
"38","2","Kolomenskaya","Коломенская","1969-08-11",-9,55.6785,37.6638
"39","2","Kashirskaya","Каширская","1969-08-11",-7,55.6551,37.6487
"40","2","Kantemirovskaya","Кантемировская","1984-12-30",-8,55.6358,37.6564
"41","2","Tsaritsyno","Царицыно","1984-12-30",-8,55.6214,37.6694
"42","2","Orekhovo","Орехово","1984-12-30",-9,55.6132,37.6949
"43","2","Domodedovskaya","Домодедовская","1985-09-07",-9.5,55.6108,37.7186
"44","2","Krasnogvardeyskaya","Красногвардейская","1985-09-07",-9,55.6137,37.7444
"45","2","Alma-Atinskaya","Алма-Атинская","2012-12-24",-10,55.6326,37.766
"46","3","Pyatnitskoye Shosse","Пятницкое шоссе","2012-12-28",-11,55.8563,37.3544
"47","3","Mitino","Митино","2009-12-26",-14,55.8457,37.3622
"48","3","Volokolamskaya","Волоколамская","2009-12-26",-14,55.8354,37.3822
"49","3","Myakinino","Мякинино","2009-12-26",0,55.8252,37.3852
"50","3","Strogino","Строгино","2008-01-07",-8,55.8038,37.4031
"51","3","Krylatskoye","Крылатское","1989-12-31",-9.5,55.7567,37.4081
"52","3","Molodyozhnaya","Молодёжная","1965-07-05",-6.5,55.7408,37.4168
"53","3","Kuntsevskaya","Кунцевская","2008-01-07",0,55.7307,37.4459
"54","3","Slavyansky Bulvar","Славянский бульвар","2008-09-07",-8.5,55.7296,37.4706
"55","3","Park Pobedy","Парк Победы","2003-05-06",-73.6,55.7362,37.5182
"56","3","Kiyevskaya","Киевская","1953-04-05",-38,55.7442,37.5645
"57","3","Smolenskaya","Смоленская","1953-04-05",-50,55.7474,37.5823
"58","3","Arbatskaya","Арбатская","1953-04-05",-41,55.7522,37.6061
"59","3","Ploshchad Revolyutsii","Площадь Революции","1938-03-13",-33.6,55.7566,37.6216
"60","3","Kurskaya","Курская","1938-03-13",-30.7,55.7576,37.6577
"61","3","Baumanskaya","Бауманская","1944-01-18",-32.5,55.773,37.6806
"62","3","Elektrozavodskaya","Электрозаводская","1944-05-15",-31.5,55.7817,37.7037
"63","3","Semyonovskaya","Семёновская","1944-01-18",-40,55.7833,37.7208
"64","3","Partizanskaya","Партизанская","1944-01-18",-9,55.7886,37.7506
"65","3","Izmaylovskaya","Измайловская","1961-10-21",0,55.7878,37.7814
"66","3","Pervomayskaya","Первомайская","1961-10-21",-7,55.7948,37.7993
"67","3","Shchyolkovskaya","Щёлковская","1963-07-22",-8,55.8094,37.7986
"68","4","Kuntsevskaya","Кунцевская","1965-08-31",0,55.7307,37.4459
"69","4","Pionerskaya","Пионерская","1961-10-13",0,55.736,37.4671
"70","4","Filyovsky Park","Филёвский парк","1961-10-13",0,55.7396,37.4833
"71","4","Bagrationovskaya","Багратионовская","1961-10-13",0,55.7438,37.4977
"72","4","Fili","Фили","1959-11-07",0,55.746,37.515
"73","4","Kutuzovskaya","Кутузовская","1958-11-07",0,55.7399,37.5344
"74","4","Studencheskaya","Студенческая","1958-11-07",0,55.7388,37.5483
"75","4","Mezhdunarodnaya","Международная","2006-08-30",-25,55.7483,37.5339
"76","4","Vystavochnaya","Выставочная","2005-09-10",-25,55.7502,37.5408
"77","4","Kiyevskaya","Киевская","1937-03-20",-8.7,55.7436,37.5655
"78","4","Smolenskaya","Смоленская","1935-05-15",-8,55.7488,37.5825
"79","4","Arbatskaya","Арбатская","1935-05-15",-8,55.7518,37.6007
"80","4","Aleksandrovsky Sad","Александровский сад","1935-05-15",-7,55.7525,37.6085
"81","5","Kiyevskaya","Киевская","1954-03-14",-48,55.7446,37.5644
"82","5","Krasnopresnenskaya","Краснопресненская","1954-03-14",-35.5,55.7613,37.5774
"83","5","Belorusskaya","Белорусская","1952-01-30",-42.5,55.7764,37.5844
"84","5","Novoslobodskaya","Новослободская","1952-01-30",-40,55.7799,37.6028
"85","5","Prospekt Mira","Проспект Мира","1952-01-30",-40,55.7798,37.6318
"86","5","Komsomolskaya","Комсомольская","1952-01-30",-37,55.7748,37.6549
"87","5","Kurskaya","Курская","1950-01-01",-40,55.757,37.6595
"88","5","Taganskaya","Таганская","1950-01-01",-53,55.7418,37.6517
"89","5","Paveletskaya","Павелецкая","1950-01-01",-40,55.7318,37.6379
"90","5","Dobryninskaya","Добрынинская","1950-01-01",-35.5,55.7291,37.6243
"91","5","Oktyabrskaya","Октябрьская","1950-01-01",-40,55.7297,37.6091
