"","Line","Name","OriginName","Opened","Elev","Lat","Lon"
"2","1","Cherkizovskaya","Черкизовская","1990-08-01",-9,55.8148,37.7342
"3","1","Preobrazhenskaya Ploshchad","Преображенская площадь","1965-12-31",-8,55.8148,37.7342
"4","1","Sokolniki","Сокольники","1935-05-15",-9,55.8148,37.7342
"5","1","Krasnoselskaya","Красносельская","1935-05-15",-8,55.8148,37.7342
"6","1","Komsomolskaya","Комсомольская","1935-05-15",-8,55.8148,37.7342
"7","1","Krasnye Vorota","Красные ворота","1935-05-15",-31,55.8148,37.7342
"8","1","Chistyye Prudy","Чистые пруды","1935-05-15",-35,55.8148,37.7342
"9","1","Lubyanka","Лубянка","1935-05-15",-32.5,55.8148,37.7342
"10","1","Okhotny Ryad","Охотный ряд","1935-05-15",-15,55.8148,37.7342
"11","1","Biblioteka Imeni Lenina","Библиотека имени Ленина","1935-05-15",-12,55.8148,37.7342
"12","1","Kropotkinskaya","Кропоткинская","1935-05-15",-13,55.8148,37.7342
"13","1","Park Kultury","Парк культуры","1935-05-15",-10.5,55.8148,37.7342
"14","1","Frunzenskaya","Фрунзенская","1957-05-01",-42,55.8148,37.7342
"15","1","Sportivnaya","Спортивная","1957-05-01",-42,55.8148,37.7342
"16","1","Vorobyovy Gory","Воробьёвы горы","1959-01-12",10,55.8148,37.7342
"17","1","Universitet","Университет","1959-01-12",-26.5,55.8148,37.7342
"18","1","Prospekt Vernadskogo","Проспект Вернадского","1963-12-30",-8,55.8148,37.7342
"19","1","Yugo-Zapadnaya","Юго-Западная","1963-12-30",-8,55.8148,37.7342
"20","1","Troparyovo","Тропарёво","2014-12-08",-12,55.8148,37.7342
"21","1","Rumyantsevo","Румянцево","2016-01-18",-12,55.8148,37.7342
"22","1","Salaryevo","Саларьево","2016-02-15",-12,55.8148,37.7342
"23","2","Khovrino","Ховрино","2017-12-31",-12,55.8148,37.7342
"24","2","Rechnoy Vokzal","Речной вокзал","1964-12-31",-6,55.8148,37.7342
"25","2","Vodny Stadion","Водный стадион","1964-12-31",-6,55.8148,37.7342
"26","2","Voykovskaya","Войковская","1964-12-31",-7,55.8148,37.7342
"27","2","Sokol","Сокол","1938-09-11",-9.6,55.8148,37.7342
"28","2","Aeroport","Аэропорт","1938-09-11",-10,55.8148,37.7342
"29","2","Dinamo","Динамо","1938-09-11",-39.6,55.8148,37.7342
"30","2","Belorusskaya","Белорусская","1938-09-11",-33.1,55.8148,37.7342
"31","2","Mayakovskaya","Маяковская","1938-09-11",-33.1,55.8148,37.7342
"32","2","Tverskaya","Тверская","1979-07-20",-42,55.8148,37.7342
"33","2","Teatralnaya","Театральная","1938-09-11",-33.9,55.8148,37.7342
"34","2","Novokuznetskaya","Новокузнецкая","1943-11-20",-37.5,55.8148,37.7342
"35","2","Paveletskaya","Павелецкая","1943-11-20",-33.5,55.8148,37.7342
"36","2","Avtozavodskaya","Автозаводская","1943-01-01",-11,55.8148,37.7342
"37","2","Tekhnopark","Технопарк","2015-12-28",0,55.8148,37.7342
"38","2","Kolomenskaya","Коломенская","1969-08-11",-9,55.8148,37.7342
"39","2","Kashirskaya","Каширская","1969-08-11",-7,55.8148,37.7342
"40","2","Kantemirovskaya","Кантемировская","1984-12-30",-8,55.8148,37.7342
"41","2","Tsaritsyno","Царицыно","1984-12-30",-8,55.8148,37.7342
"42","2","Orekhovo","Орехово","1984-12-30",-9,55.8148,37.7342
"43","2","Domodedovskaya","Домодедовская","1985-09-07",-9.5,55.8148,37.7342
"44","2","Krasnogvardeyskaya","Красногвардейская","1985-09-07",-9,55.8148,37.7342
"45","2","Alma-Atinskaya","Алма-Атинская","2012-12-24",-10,55.8148,37.7342
"46","3","Pyatnitskoye Shosse","Пятницкое шоссе","2012-12-28",-11,55.8148,37.7342
"47","3","Mitino","Митино","2009-12-26",-14,55.8148,37.7342
"48","3","Volokolamskaya","Волоколамская","2009-12-26",-14,55.8148,37.7342
"49","3","Myakinino","Мякинино","2009-12-26",0,55.8148,37.7342
"50","3","Strogino","Строгино","2008-01-07",-8,55.8148,37.7342
"51","3","Krylatskoye","Крылатское","1989-12-31",-9.5,55.8148,37.7342
"52","3","Molodyozhnaya","Молодёжная","1965-07-05",-6.5,55.8148,37.7342
"53","3","Kuntsevskaya","Кунцевская","2008-01-07",0,55.8148,37.7342
"54","3","Slavyansky Bulvar","Славянский бульвар","2008-09-07",-8.5,55.8148,37.7342
"55","3","Park Pobedy","Парк Победы","2003-05-06",-73.6,55.8148,37.7342
"56","3","Kiyevskaya","Киевская","1953-04-05",-38,55.8148,37.7342
"57","3","Smolenskaya","Смоленская","1953-04-05",-50,55.8148,37.7342
"58","3","Arbatskaya","Арбатская","1953-04-05",-41,55.8148,37.7342
